name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
HAT-P-13 c,805,14.28 Jupiters,10.421,2009,https://exoplanets.nasa.gov/exoplanet-catalog/255/hat-p-13-c/,Gas Giant,2009,14.28 Jupiters,1.1 x Jupiter,1.258 AU,446.3 days,0.66
,,,,,,,,,,,,
HAT-P-15 b,628,1.94 Jupiters,12.41,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1229/hat-p-15-b/,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,10.9 days,0.19
,,,,,,,,,,,,
HAT-P-16 b,739,4.193 Jupiters,10.911,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1230/hat-p-16-b/,Gas Giant,2010,4.193 Jupiters,1.289 x Jupiter,0.0413 AU,2.8 days,0.04
,,,,,,,,,,,,
HAT-P-18 b,526,0.197 Jupiters,12.597,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1232/hat-p-18-b/,Gas Giant,2010,0.197 Jupiters,0.995 x Jupiter,0.0559 AU,5.5 days,0.08
,,,,,,,,,,,,
HAT-P-19 b,659,0.292 Jupiters,12.826,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1342/hat-p-19-b/,Gas Giant,2010,0.292 Jupiters,1.132 x Jupiter,0.0466 AU,4 days,0.07
,,,,,,,,,,,,
HAT-P-1 b,519,0.525 Jupiters,9.827,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5210/hat-p-1-b/,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,4.5 days,0
,,,,,,,,,,,,
HAT-P-21 b,904,4.87 Jupiters,11.459,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1343/hat-p-21-b/,Gas Giant,2010,4.87 Jupiters,1.11 x Jupiter,0.0494 AU,4.1 days,0.23
,,,,,,,,,,,,
HAT-P-25 b,980,0.569 Jupiters,13.146,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1347/hat-p-25-b/,Gas Giant,2010,0.569 Jupiters,1.135 x Jupiter,0.0466 AU,3.7 days,0.02
,,,,,,,,,,,,
HAT-P-26 b,463,22.2481 Earths,11.757,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1348/hat-p-26-b/,Neptune-like,2010,22.2481 Earths,0.63 x Jupiter,0.0479 AU,4.2 days,0.12
,,,,,,,,,,,,
HAT-P-27 b,650,0.62 Jupiters,12.052,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1349/hat-p-27-b/,Gas Giant,2011,0.62 Jupiters,1.02 x Jupiter,0.04 AU,3 days,0
,,,,,,,,,,,,
HAT-P-2 b,417,8.7 Jupiters,8.72,2007,https://exoplanets.nasa.gov/exoplanet-catalog/1220/hat-p-2-b/,Gas Giant,2007,8.7 Jupiters,0.951 x Jupiter,0.06814 AU,5.6 days,0.52
,,,,,,,,,,,,
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1433/hat-p-31-b/,Gas Giant,2011,2.27 Jupiters,1.09 x Jupiter,0.061 AU,5 days,0.25
,,,,,,,,,,,,
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1435/hat-p-33-b/,Gas Giant,2011,0.92 Jupiters,1.85 x Jupiter,0.04995 AU,3.5 days,0
,,,,,,,,,,,,
HAT-P-34 b,813,3.33 Jupiters,10.403,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1436/hat-p-34-b/,Gas Giant,2011,3.33 Jupiters,1.197 x Jupiter,0.06774 AU,5.5 days,0.43
,,,,,,,,,,,,
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011,https://exoplanets.nasa.gov/exoplanet-catalog/257/hat-p-35-b/,Gas Giant,2011,1.056 Jupiters,1.332 x Jupiter,0.04978 AU,3.6 days,< 0.02
,,,,,,,,,,,,
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1252/hat-p-36-b/,Gas Giant,2011,1.8482 Jupiters,1.277 x Jupiter,0.0241 AU,1.3 days,0.06
,,,,,,,,,,,,
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1253/hat-p-37-b/,Gas Giant,2011,1.169 Jupiters,1.178 x Jupiter,0.0379 AU,2.8 days,0.06
,,,,,,,,,,,,
HAT-P-3 b,439,0.65 Jupiters,11.856,2007,https://exoplanets.nasa.gov/exoplanet-catalog/1221/hat-p-3-b/,Gas Giant,2007,0.65 Jupiters,0.94 x Jupiter,0.03866 AU,2.9 days,0
,,,,,,,,,,,,
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1258/hat-p-42-b/,Gas Giant,2012,1.044 Jupiters,1.28 x Jupiter,0.0575 AU,4.6 days,0
,,,,,,,,,,,,
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1259/hat-p-43-b/,Gas Giant,2012,0.662 Jupiters,1.216 x Jupiter,0.0444 AU,3.3 days,< 0.21
,,,,,,,,,,,,
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1260/hat-p-44-b/,Gas Giant,2014,0.352 Jupiters,1.242 x Jupiter,0.0507 AU,4.3 days,0.04
,,,,,,,,,,,,
HAT-P-44 c,1135,4 Jupiters,13.225,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1261/hat-p-44-c/,Gas Giant,2014,4 Jupiters,1.16 x Jupiter,1.752 AU,2.4 years,0.49
,,,,,,,,,,,,
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014,https://exoplanets.nasa.gov/exoplanet-catalog/457/hat-p-49-b/,Gas Giant,2014,2.2 Jupiters,1.59 x Jupiter,0.04378 AU,2.7 days,0
,,,,,,,,,,,,
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007,https://exoplanets.nasa.gov/exoplanet-catalog/258/hat-p-4-b/,Gas Giant,2007,0.671 Jupiters,1.274 x Jupiter,0.04438 AU,3.1 days,0
,,,,,,,,,,,,
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4251/hat-p-50-b/,Gas Giant,2015,1.35 Jupiters,1.288 x Jupiter,0.0453 AU,3.1 days,< 0.115
,,,,,,,,,,,,
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1258/hat-p-42-b/,Gas Giant,2012,1.044 Jupiters,1.28 x Jupiter,0.0575 AU,4.6 days,0
,,,,,,,,,,,,
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012,https://exoplanets.nasa.gov/exoplanet-catalog/1259/hat-p-43-b/,Gas Giant,2012,0.662 Jupiters,1.216 x Jupiter,0.0444 AU,3.3 days,< 0.21
,,,,,,,,,,,,
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1260/hat-p-44-b/,Gas Giant,2014,0.352 Jupiters,1.242 x Jupiter,0.0507 AU,4.3 days,0.04
,,,,,,,,,,,,
HAT-P-44 c,1135,4 Jupiters,13.225,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1261/hat-p-44-c/,Gas Giant,2014,4 Jupiters,1.16 x Jupiter,1.752 AU,2.4 years,0.49
,,,,,,,,,,,,
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014,https://exoplanets.nasa.gov/exoplanet-catalog/457/hat-p-49-b/,Gas Giant,2014,2.2 Jupiters,1.59 x Jupiter,0.04378 AU,2.7 days,0
,,,,,,,,,,,,
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007,https://exoplanets.nasa.gov/exoplanet-catalog/258/hat-p-4-b/,Gas Giant,2007,0.671 Jupiters,1.274 x Jupiter,0.04438 AU,3.1 days,0
,,,,,,,,,,,,
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4251/hat-p-50-b/,Gas Giant,2015,1.35 Jupiters,1.288 x Jupiter,0.0453 AU,3.1 days,< 0.115
,,,,,,,,,,,,
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5470/hat-p-55-b/,Gas Giant,2015,0.582 Jupiters,1.182 x Jupiter,0.04604 AU,3.6 days,< 0.139
,,,,,,,,,,,,
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5472/hat-p-56-b/,Gas Giant,2015,2.31 Jupiters,1.51 x Jupiter,0.0423 AU,2.8 days,< 0.29
,,,,,,,,,,,,
HAT-P-59 b,866,1.54 Jupiters,11.64,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7913/hat-p-59-b/,Gas Giant,2021,1.54 Jupiters,1.123 x Jupiter,0.05064 AU,4.1 days,< 0.03
,,,,,,,,,,,,
HAT-P-5 b,989,0.98 Jupiters,11.954,2007,https://exoplanets.nasa.gov/exoplanet-catalog/1222/hat-p-5-b/,Gas Giant,2007,0.98 Jupiters,1.21 x Jupiter,0.04073 AU,2.8 days,0
,,,,,,,,,,,,
HAT-P-60 b,761,0.574 Jupiters,9.727,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7914/hat-p-60-b/,Gas Giant,2021,0.574 Jupiters,1.631 x Jupiter,0.06277 AU,4.8 days,< 0.25
,,,,,,,,,,,,
HAT-P-61 b,1105,1.057 Jupiters,13.096,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7915/hat-p-61-b/,Gas Giant,2021,1.057 Jupiters,0.899 x Jupiter,0.0301 AU,1.9 days,< 0.113
,,,,,,,,,,,,
HAT-P-64 b,2126,0.58 Jupiters,12.855,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7918/hat-p-64-b/,Gas Giant,2021,0.58 Jupiters,1.703 x Jupiter,0.05387 AU,4 days,< 0.101
,,,,,,,,,,,,
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3391/hat-p-66-b/,Gas Giant,2016,0.783 Jupiters,1.59 x Jupiter,0.04363 AU,3 days,< 0.09
,,,,,,,,,,,,
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3485/hat-p-67-b/,Gas Giant,2017,0.34 Jupiters,2.085 x Jupiter,0.06505 AU,4.8 days,0
,,,,,,,,,,,,
HAT-P-68 b,659,0.724 Jupiters,13.802,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7794/hat-p-68-b/,Gas Giant,2020,0.724 Jupiters,1.072 x Jupiter,0.02996 AU,2.3 days,< 0.041
,,,,,,,,,,,,
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7454/hat-p-69-b/,Gas Giant,2019,3.58 Jupiters,1.676 x Jupiter,0.06555 AU,4.8 days,0
,,,,,,,,,,,,
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7455/hat-p-70-b/,Gas Giant,2019,6.78 Jupiters,1.87 x Jupiter,0.04739 AU,2.7 days,0
,,,,,,,,,,,,
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1717/hat-p-7-b/,Gas Giant,2008,1.84 Jupiters,1.51 x Jupiter,0.03676 AU,2.2 days,0
,,,,,,,,,,,,
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1225/hat-p-9-b/,Gas Giant,2008,0.749 Jupiters,1.393 x Jupiter,0.05287 AU,3.9 days,0.08
,,,,,,,,,,,,
HATS-13 b,1376,0.543 Jupiters,13.911,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4328/hats-13-b/,Gas Giant,2015,0.543 Jupiters,1.212 x Jupiter,0.04057 AU,3 days,< 0.181
,,,,,,,,,,,,
HATS-18 b,2037,1.9795 Jupiters,14.188,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3405/hats-18-b/,Gas Giant,2016,1.9795 Jupiters,1.329 x Jupiter,0.0174 AU,0.8 days,0.17
,,,,,,,,,,,,
HATS-22 b,749,2.74 Jupiters,13.397,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3467/hats-22-b/,Gas Giant,2017,2.74 Jupiters,0.953 x Jupiter,0.05025 AU,4.7 days,0.08
,,,,,,,,,,,,
