name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3473 b,89,1.86 Earths,13.74,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7763/gj-3473-b/,Super Earth,2020,1.86 Earths,1.264 x Earth,0.01589 AU,1.2 days,0,,,,,,,,,,0.000007,-0.000007,0,0.0771,0.0012,-0.0012,0,10.559,0.247,-0.247,0,0.942,0.022,-0.022,0,220.565,8.899,-8.899,0,0.694,0.028,-0.028,0,Mass,0,,,0,76.19,,,0,797,16,-16,0,0,K0,5314,88,-88,0,0.75,0.02,-0.02,0,0.84,0.04,-0.04,0,0,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,08h44m25.68s,131.1069959,+01d51m35.62s,1.8598933,100.588,0.489,-0.484,10.825,0.011,-0.011,8.855,0.023,-0.023,10.5745,0.00059,-0.00059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00000044,-0.00000044,0,0.039,0.001,-0.001,0,13.899,0.336,-0.336,0,1.24,0.03,-0.03,0,402.05495,20.65895,-20.65895,0,1.265,0.065,-0.065,0,Mass,0,,,0,640.33,,,0,1452,6,-6,0,0,G5 V,6112,27,-27,0,0.94,0.02,-0.02,0,1.09,0.08,-0.08,0,0.118,0.019,-0.019,0,[M/H],4.5,0.18,-0.18,0,11h43m37.93s,175.9080328,+06d33m49.62s,6.5637842,141.887,1.229,-1.208,10.72,0.01,-0.01,8.733,0.026,-0.026,10.6241,0.000959,-0.000959,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 436 b,32,22.1 Earths,10.67,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6534/gj-436-b/,Neptune-like,2004,22.1 Earths,0.372 x Jupiter,0.0291 AU,2.6 days,0.14,,,,,,,,,,0.0000019,-0.0000019,0,0.02946,0.00075,-0.00075,0,15.524,0.673,-0.673,0,1.385,0.06,-0.06,0,692.8694,47.6745,-47.6745,0,2.18,0.15,-0.15,0,Mass,0,,,0,4170.1,,,0,2050,,,0,0,,6450,120,-120,0,1.63,0.06,-0.06,0,1.2,0.09,-0.09,0,,,,,,4.08,0.41,-0.41,0,12h21m17.92s,185.3246821,-52d50m26.94s,-52.8408163,298.392,3.622,-3.536,10.727,0.006,-0.006,9.552,0.025,-0.025,10.7091,0.000307,-0.000307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000019,-0.000019,0,0.06431,0.00065,-0.00062,0,16.365,2.354,-2.354,0,1.46,0.21,-0.21,0,133.4886,44.4962,-44.4962,0,0.42,0.14,-0.14,0,Mass,0,,,0,1489.55,,,0,1772,54,-45,0,0,F6,6430,130,-130,0,1.8,0.26,-0.26,0,0.94,0.42,-0.42,0,-0.08,,,0,[Fe/H],3.96,0.04,-0.04,0,20h38m02.70s,309.5112337,-48d27m43.50s,-48.4620833,523.756,8.792,-8.511,11.388,0.018,-0.018,10.322,0.019,-0.019,11.478,0.000403,-0.000403,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 486 b,26,2.82 Earths,11.39,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7840/gj-486-b/,Super Earth,2021,2.82 Earths,1.305 x Earth,0.01734 AU,1.5 days,0.05,,,,,,,,,,0.0000025,-0.0000025,0,0.0427,0.0012,-0.0012,0,11.657,0.448,-0.448,0,1.04,0.04,-0.04,0,1875.197,127.132,-127.132,0,5.9,0.4,-0.4,0,Mass,0.193,0.009,-0.009,0,,,,,1120,20,-20,0,0,K3,5130,90,-90,0,0.88,0.03,-0.03,0,0.92,0.08,-0.08,0,0.15,0.14,-0.14,0,[Fe/H],4.52,0.02,-0.02,0,20h55m36.01s,313.9000261,-18d58m17.07s,-18.9714084,290.946,2.692,-2.645,13.21,0.103,-0.103,11.004,0.021,-0.021,12.989,0.000528,-0.000528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
